brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
JANET,1,25,78,104,0.75,4602,0.022598870056497175,1.7449856733524358,2.632911392405063,Q1
GRIFF,1,67,149,217,0.6866359447004609,4602,0.04715341156019122,1.5975598484148261,5.4936708860759484,Q1
MANDY,0,23,45,68,0.6617647058823529,4602,0.01477618426770969,1.5396932411933255,1.721518987341772,Q1
BARLEY,2,102,198,302,0.6556291390728477,4602,0.06562364189482833,1.525417939619348,7.645569620253164,Q1
LEON,1,58,105,164,0.6402439024390244,4602,0.035636679704476315,1.4896219162764697,4.151898734177215,Q1
AMBER,0,21,34,55,0.6181818181818182,4602,0.011951325510647544,1.4382912216723107,1.3924050632911391,Q1
PENNY,0,38,56,94,0.5957446808510638,4602,0.020425901781833986,1.386087910748034,2.3797468354430378,Q1
CHESTER,2,156,219,377,0.5809018567639257,4602,0.08192090395480225,1.3515538902358388,9.544303797468354,Q1
SAM,0,40,55,95,0.5789473684210527,4602,0.020643198609300303,1.3470064846931082,2.40506329113924,Q1
BEA,0,53,63,116,0.5431034482758621,4602,0.025206431986093004,1.2636103151862466,2.9367088607594938,Q1
OTIS,0,24,28,52,0.5384615384615384,4602,0.011299435028248588,1.2528102270222614,1.3164556962025316,Q1
STU,0,106,120,226,0.5309734513274337,4602,0.049109083007388095,1.235388087329158,5.7215189873417724,Q1
ASH,0,60,62,122,0.5081967213114754,4602,0.026510212950890916,1.1823946639109402,3.0886075949367084,Q1
BUSTER,0,125,120,245,0.4897959183673469,4602,0.053237722729248156,1.1395824805566928,6.2025316455696204,Q1
GALE,0,42,40,82,0.4878048780487805,4602,0.017818339852238158,1.1349500314487386,2.0759493670886076,Q1
JESSIE,2,57,55,114,0.4824561403508772,4602,0.024771838331160364,1.1225054039109237,2.8860759493670884,Q1
SURGE,1,117,109,227,0.4801762114537445,4602,0.04932637983485441,1.1172008128952453,5.746835443037974,Q1
SPIKE,0,51,46,97,0.4742268041237113,4602,0.021077792264232943,1.103358638820784,2.4556962025316453,Q1
PAM,0,36,31,67,0.4626865671641791,4602,0.014558887440243373,1.0765085746054828,1.6962025316455696,Q1
BUZZ,0,41,34,75,0.4533333333333333,4602,0.016297262059973925,1.0547468958930277,1.8987341772151898,Q1
POCO,0,67,52,119,0.4369747899159664,4602,0.02585832246849196,1.0166863306927356,3.0126582278481013,Q1
MORTIS,0,33,25,58,0.43103448275862066,4602,0.012603215993046502,1.002865329512894,1.4683544303797469,Q1
